name,address,phone,hours,latitude,longitude
REFUGE TEMPLE CHURCH,"943 JEFFERSON AVE, BUFFALO, NY 14204",(716) 886-2199,"Tuesday, Wednesday, Friday 11:00 AM - 2:00 PM",42.9005769,-78.8536802
CATHOLIC CHARITIES - SOUTH BUFFALO PANTRY,"920 TIFFT STREET, BUFFALO, NY 14220",(716) 332-1168,Monday and Thursday 9:30 AM - 2:30 PM,42.8470216,-78.8249577
LIVING WATER FELLOWSHIP,"382 PINE RIDGE ROAD, CHEEKTOWAGA, NY 14225",(716) 289-5454,Tuesday 9:00 AM to 1:00 PM,42.9179318,-78.7941191
B.F.N.C. FOOD SHARE,"97 LEMON ST., BUFFALO, NY 14204",(716) 856-0363,"Thursday and Friday 11:00 AM - 1:00 PM
Emergency hours Mon thru Fri 9:00 AM - 5:00 PM",42.8969798,-78.8597767
HUMBOLDT PARKWAY BAPTIST CHURCH,"790 HUMBOLDT PARKWAY, BUFFALO, NY 14211",(716) 896-4363,Tuesday thru Friday 11:00 AM - 1:00 PM,42.913584,-78.8427995
BUFFALO URBAN LEAGUE PANTRY,"86 PINE STREET, BUFFALO, NY 14204",(716) 847-8951,"Monday thru Friday, 9:00-1:00",42.8823635,-78.8645381
FIRST SHILOH BAPTIST CHURCH,"15 PINE STREET, BUFFALO, NY 14204",(716) 847-6555,Wednesday 8:00 AM - 2:00 PM,42.8902307,-78.8653683
EDISON STREET MANNA FROM HEAVEN,"28 EDISON AVENUE, BUFFALO, NY 14215",(716) 895-8337,Wednesday and Saturday 10:00 AM - 12:00 PM,42.9234863,-78.802283
CITIZENS COMMUNITY DEVELOPMENT,"134 WILLIAM STREET, BUFFALO, NY 14204",(716) 852-2324,"Tuesday 10:00 AM - 2:00 PM
Wednesday 9:00 AM - 2:00 PM
Thursday 10:00 AM - 2:00 PM",42.8847686,-78.865795
RESURRECTION LIFE FOOD PANTRY,"2145 OLD UNION ROAD, CHEEKTOWAGA, NY 14227",(716) 608-3400,"Tuesday 10:00 AM - 12:00 PM
Thursday 10:00 AM - 1:00 PM
1st & 3rd Thursday 6:00 - 7:00 PM
(Closed any 5th week Thursday)",42.8702889,-78.7569986
CATHOLIC CHARITIES FULTON - ST. BRIGID FOOD PANTRY,"305 Perry Street, BUFFALO, NY 14204",(716) 853-4456,Wednesday 9:30 AM – 12:00 PM and 12:30 - 2:00 PM,42.8740142,-78.8662125
OLD FIRST WARD - BUFFALO RIVER FOOD PANTRY,"62 REPUBLIC STREET, BUFFALO, NY 14204",(716) 856-8613,Thursday 8:00 AM - 12:00 PM,42.8664314,-78.8627367
GREATER WORKS CHRISTIAN FELLOWSHIP,"210 SOUTHAMPTON ST., BUFFALO, NY 14208",(716) 887-2301,Wednesday 10:00 AM - 2:00 PM,42.9068548,-78.8573832
GROUP MINISTRIES,"1333 JEFFERSON AVENUE, BUFFALO, NY 14208",(716) 259-8039,"Monday and Wednesday, 10:00 AM - 2:00 PM",42.9114999,-78.8538185
C.A.O. OF WNY PANTRY,"347 EAST FERRY ST., Buffalo, New York 14208",(716) 881-5150,"Tuesday, Thursday, Friday 10:00 AM – 2:00 PM",42.9146429,-78.8508303
CITY MISSION SOCIETY INC. PANTRY,"100 E. TUPPER STREET, BUFFALO, NY 14203",(716) 854-8181,Monday and Wednesday 10:00 AM - 12:00 PM,42.8930034,-78.8693978
ST. PHILIP'S EPISCOPAL CHURCH,"15 FERNHILL AVENUE, BUFFALO, NY 14215",(716) 833-0442,Wednesday 10:00 AM – 3:00 PM,42.9279075,-78.8285715
THE SALVATION ARMY - BUFFALO,"1000 MAIN STREET, BUFFALO, NY 14202",(716) 883-9800,"Monday 9:00 AM - 2:00 PM
Wednesday 11:00 AM - 2:00 PM
Friday 9:00 AM - 1:00 PM",42.9010121,-78.8698674
JOSEPH PROJECT MOBILE FOOD PANTRY,"437 MASTEN AVENUE, BUFFALO, NY 14209",(716) 854-1001,"Please call agency for mobile pantry locations, times and dates; or view website at: http://www.buffalodreamcenter.org/food-pantry-sites/",42.9142848,-78.8594082
CREATIVE RESTORATIONS FOOD PANTRY,"371 DELAWARE AVE., BUFFALO, NY 14202",(716) 553-4886,"Monday 9:00 AM-12:00 PM
Wendesday 12:00-3:00 PM
Friday 3:00-6:00 PM",42.8945679,-78.8752971
14 HOLY HELPERS SHARING COMMITTEE,"1345 INDIAN CHURCH ROAD, WEST SENECA, NY 14224",(716) 674-2374,"Delivery pantry for 14224 area code. 
Monday thru Friday, 9:00 AM - 5:00 PM; Saturday and Sunday by appointment.",42.8535672,-78.7559248
UPPER ROOM CHURCH OF GOD IN CHRIST,"131 FLORIDA STREET, BUFFALO, NY 14208",(716) 893-6987,"Wednesday 1:00 - 4:00 PM 
Thursday 9:00 AM - 12:30 PM",42.9201254,-78.8542135
EXPRESSWAY ASSEMBLY OF GOD FOOD PANTRY,"260 EGGERT ROAD, BUFFALO, NY 14215",(716) 893-8112,"Wednesday and Friday 11:00 AM – 1:00 PM; 
3rd Saturday 9:00 AM – 12:00 PM",42.9324131,-78.8000274
EVERGREEN HEALTH SERVICES,"206 SOUTH ELMWOOD AVENUE, BUFFALO, NY 14201",(716) 847-2441,"Monday 9:30 AM - 11:30 AM
Tuesday 1:00 - 3:00 PM 
Thursday 1:00 - 3:00 PM
Friday 9:30 - 11:30 AM",42.8911463,-78.8781541
CATHOLIC CENTRAL FOOD PANTRY,"350 DEWEY AVENUE, BUFFALO, NY 14214",(716) 800-1075,Wednesday 9:30 AM - 1:30 PM,42.9313444,-78.8343407
HISPANICS UNITED OF BUFFALO,"254 VIRGINIA STREET, BUFFALO, NY 14201",(716) 856-7110,"Tuesday and Thursday, 9:30 AM -1:30 PM",42.8950814,-78.8819703
NETWORK OF RELIGIOUS COMMUNITIES,"1272 DELAWARE AVENUE, BUFFALO, NY 14209",(716) 882-7705,"Tuesday 10:00 AM - 2:00 PM; 
Wednesday 2:00 PM - 5:30 PM",42.9186987,-78.8687996
THE SALVATION ARMY - KENSINGTON,"21 WESTMINSTER AVENUE, BUFFALO, NY 14215",(716) 832-2467,"Monday, Wednesday, Friday 11:30 AM - 2:30 PM",42.9390365,-78.8127358
PRIMERA FOOD PANTRY,"62 VIRGINIA STREET, BUFFALO, NY 14201",(716) 844-6097,"Wednesday and Saturday, 9:00 AM - 12:00 PM",42.8919359,-78.8883893
CEDAR GROVE FOOD PANTRY,"100 OLD MARYVALE DRIVE, CHEEKTOWAGA, NY 14225",(716) 893-8467,"Tuesday 10:00 AM - 2:00 PM
3rd Saturday 10:00 AM - 2:00 PM",42.9335563,-78.7706529
O.L.V. ST VINCENT DePAUL SOCIETY,"767 RIDGE ROAD, LACKAWANNA, NY 14218",(716)828-9444,Delivery in Lackawanna only. Please call for delivery availability.,42.8254392,-78.8236303
BELLE CENTER FOOD PANTRY,"104 MARYLAND STREET, BUFFALO, NY 14201",(716) 845-0485,"Monday thru Friday, 9:30 AM - 12:30 PM",42.8942274,-78.888357
GOOD SHEPHERD FOOD PANTRY,"96 JEWETT PARKWAY, BUFFALO, NY 14214",(716) 833-1151,Wednesday 10:00 AM - 2:00 PM,42.9357811,-78.8475363
CATHOLIC CHARITIES - LACKAWANNA PANTRY,"75 CALDWELL STREET, LACKAWANNA, NY 14218",(716) 824-4760,Monday and Friday 9:30 AM - 12:00 PM and 12:00 - 2:30 PM,,
COMMUNITY ACCESS SERVICES OF WNY FOOD PANTRY,"3297 BAILEY AVE., BUFFALO, NY 14215",(716) 852-5969,Monday thru Thursday 10:00 AM - 1:00 PM and 2:00-3:00 PM,42.9445584,-78.8134013
FOOD FARMACY FOOD PANTRY AT D’YOUVILLE HEALTH PROFESSIONS HUB,"301 CONNECTICUT ST., Buffalo, New York 14213",(716) 829-7736,Tuesday and Thursday 10:00 AM – 2:00 PM,42.904964,-78.889267
S.B.C. FOUNDATION,"18 CHURCH STREET, LACKAWANNA, NY 14218",(716) 826-4940,"Tuesday 9:30 AM - 1 PM,
Thursday 9:30 AM - 1 PM
Saturday 9:30 AM - 10:30 AM",42.8268959,-78.8475708
ST. LUKE FOOD PANTRY,"900 MARYVALE DRIVE, CHEEKTOWAGA, NY 14225",(716) 633-6752,Tuesday 10:00 AM - 2:00 PM,42.933197,-78.7546604
WEST SENECA COMMUNITY FOOD PANTRY,"51 ST. DAVIDS DRIVE, WEST SENECA, NY 14224",(716) 574-4411,"Tuesday 9:00 AM - 1:00 PM; 
2nd Saturday 9:00 AM - 12:00 PM;",42.8292182,-78.7568171
NORTH BUFFALO FOOD PANTRY,"2 WALLACE AVENUE, BUFFALO, NY 14214",(716) 836-1361,"Saturday 9:00 AM - 1:00 PM 
Emergency hours Monday thru Friday 9:00 AM - 12:00 PM",42.9436017,-78.8472861
THE SALVATION ARMY - TEMPLE CORPS,"187 GRANT STREET, BUFFALO, NY 14213",(716)886-5772,Thursday 9:00 AM - 1:00 PM,42.9191043,-78.8902952
UNIVERSITY PRESBYTERIAN CHURCH,"3330 MAIN STREET, BUFFALO, NY 14214",(716) 836-7660,"Tuesday and Thursday, 12:00 PM - 3:00 PM",42.9545336,-78.8224947
HEARTS FOOD PANTRY EXPRESS AT UNITED METHODIST CHURCH,"350 SARATOGA RD., BUFFALO, NY 14226",(716) 877-3536,Monday 12:30 PM - 4:30 PM,42.9533279,-78.7847023
PROVISION 139,"44 BRECKENRIDGE ST., BUFFALO, NY 14213",(716) 884-6616,"Wednesday 12:00 PM - 3:00 PM 
Thursday 5:00 PM - 7:00 PM",42.9173704,-78.8999454
ST. STEPHENS BETHLEHEM UCC,"750 WEHRLE DR., BUFFALO, NY 14207",(716) 632-4226,"Wednesday 1:00-5:00 PM
Sunday 1:00 - 3:00 PM",42.9501225,-78.7566926
ST. MARTHA'S PANTRY,"10 FRENCH ROAD, DEPEW, NY 14043",(716) 206-0387,"Monday 6:00 PM - 8:00 PM; 
Wednesday and Thursda 9:00 AM - 12:00 PM; 
Saturday 10:00 AM - 12:00 PM",42.9187467,-78.7142625
ST. PAULS TIGER'S DEN FOOD PANTRY,"4007 MAIN STREET, EGGERTSVILLE, NY 14226",(716) 835-0407,"Thursday 3:00 PM - 7:00 PM (1st, 3rd and 5th ONLY); 
Saturday 9:00 AM - 1:00 PM (2nd & 4th ONLY)",42.9641989,-78.8013795
NATIVE AMERICAN COMMUNITY SERVICES,"1005 GRANT STREET, BUFFALO, NY 14207",(716) 874-4460,"Tuesday and Wednesday, 10:00 AM - 1:00 PM",42.9400516,-78.8901543
ST. FAUSTINA'S GATE,"263 CLAREMONT AVENUE, TONAWANDA, NY 14223",(716) 837-2544,Tuesday and Thursday 11:00 AM - 1:30 PM,42.9657956,-78.8310028
HEARTS FOOD PANTRY EXPRESS AT BUFFALO FIRST CHURCH OF THE NAZARENE,"1270 KEMMORE AVE., BUFFALO, NY 14216",(716) 877-3536,Thursdays 11:00 AM - 3:00 PM,,
BLASDELL CHURCH OF CHRIST FOOD PANTRY,"67 LAKE AVENUE, BLASDELL, NY 14219",(716) 536-2259,"Monday and Thursday: 9:30 AM - 12:00 PM
2nd Tuesday: 6:00 PM - 7:00 PM",42.7973764,-78.8265612
IGLESIA EL CALVARIO,"211 EAST STREET, BUFFALO, NEW YORK 14207",(716) 440-3410,Wednesday 10:00 AM - 2:00 PM,42.9373601,-78.9013463
TRI COMMUNITY FOOD PANTRY,"722 TERRACE BOULAVARD, DEPEW, NY 14043",(716) 289-1370,"Tuesday 10:30 AM - 1:00 PM
Thursday 5:00 PM - 7:00 PM
Saturday 9:00 AM - 11:00 AM",,
TABERNACLE FOOD PANTRY,"3210 SOUTHWESTERN BLVD., ORCHARD PARK, NY 14127",(716) 675-2888,Wednesday 11:00 AM - 4:00 PM,42.7986546,-78.7476832
HEARTS HARVEST FOOD PANTRY,"870 TONAWANDA STREET, BUFFALO, NY 14207",(716) 877-3536,"Tuesday 12:00 PM - 4:00 PM
Friday 10:00 AM - 2:00 PM",42.952292,-78.9053936
CATHOLIC CHARITIES - KENMORE,"3370 DELAWARE AVE, KENMORE, NY 14217",(716) 362-0225,Monday and Thursday 9:30 AM - 12:00 PM and 12:30 - 2:30 PM,42.976005,-78.8721893
ST. VINCENT DEPAUL - ST. LEO,"885 SWEET HOME ROAD, AMHERST, NY 14226",(716) 800-8020,"Monday 12:00 PM - 2:00 PM
Wednesday 9:00 AM - 11:00 AM
Saturday 10:00 AM - 11:30 AM",42.9868532,-78.8069674
TRINITY PANTRY,"5448 BROADWAY ST, LANCASTER, NY 14086",(716) 683-1111,"Wednesday, 7:30 AM - 11:00 AM and 5:00 PM - 7:30 PM",42.9004457,-78.6686547
NEW COVENANT TABERNACLE,"345 McCONKEY DRIVE, BUFFALO, NY 14223",(716) 877-9882,Thursdays 12:00 PM - 4:00 PM,42.9895795,-78.8610762
ST. VINCENT DEPAUL - ST. AMELIA,"210 ST. AMELIA DRIVE, TOWN OF TONAWANDA, NY 14150",(716) 692-2660 ext. 109,"Tuesday 6:30 - 8:30 PM  
Thursday 1:30 - 3:30 PM
Call (716) 692-2660 ext. 109 for assistance
By Appointment:  Monday, Wednesday, Friday, Saturday",42.9950001,-78.8459636
ST. VINCENT DEPAUL ST. TIMOTHY'S,"565 EAST PARK DRIVE, TONAWANDA, NY 14150",(716) 939-2018,Monday and Thursday: 8:30 AM -11:00 AM,42.9879494,-78.8974915
NEW BEGINNINGS FOOD PANTRY,"100 WILLOW RIDGE DRIVE, AMHERST, NY 14228",(716) 339-7163,"Tuesday, 6:00 PM - 8:00 PM;
2nd & 4th Friday, 9 - 11:00 AM;
3rd Saturday, 9:45 AM - 11:45 AM;
1st Friday of each month by appointment, 9-11:00 AM

Pantry will be closed whenever the Sweet Home School District is closed due to inclement weather.",43.0134443,-78.8183944
ST. CHRISTOPHER PARISH PANTRY,"550 ELLICOTT CREEK ROAD, TONAWANDA, NY 14150",(716) 564-9023,"Monday, Wednesday, Thursday 9:00 AM - 1:00 PM",43.011509,-78.8520781
TOWN SQUARE FOOD PANTRY,"2710 N. FOREST ROAD, GETZVILLE, NY 14068",(716) 218-1421,Temporarily Closed,,
EVANGEL FOOD PANTRY,"8180 GREINER ROAD, WILLIAMSVILLE, NY 14221",716-221-0218,"Mondays 5:00 a.m. to 3 p.m. by appointment, new clients before 2 p.m.

Wednesdays: 6:00 p.m. to 8 p.m., no new clients

Saturdays: 5:00 a.m. to 7 a.m., no new clients

Sundays: 8:00 a.m. to 10:00 a.m.. by appointment, no new clients",,
THE SALVATION ARMY - TONAWANDA,"46 BROAD STREET, TONAWANDA, NY 14150",(716) 693-3110,Tuesday/Thursday: 9:00 AM - 12:00 PM,43.0193729,-78.8771387
ST. VINCENT DEPAUL ST. FRANCIS OF ASSISI,"73 ADAM STREET, TONAWANDA, NY 14150",(716) 693-6247,"Wednesday 9:30 AM - 12:00 PM
Thursday: 6:00 PM - 8:00 PM

Use front door of St. Clare, at 144 Broad St.",43.0187751,-78.8814906
OLD TIME BAPTIST FOOD PANTRY,"5599 CAMP RD., HAMBURG, NY 14075",,"Thursday and Satruday, 12:00 - 2:00 PM",42.7341535,-78.8371862
NIAGARA COMMUNITY ACTION PROGRAM - NORTH TONAWANDA,"265 FALCONER STREET, NORTH TONAWANDA, NY 14120",(716) 694-9727,"Monday, Wednesday, Friday 9:00 AM - 5:00 PM;
Thursday 8:00 AM - 4:00 PM",43.0304955,-78.8664383
ST. PETER & PAUL PARISH OUTREACH,"36 PINE STREET, HAMBURG, NY 14075",(716) 648-1725,Monday thru Thursday: 9:00 AM -12:00 PM and 12:30 - 4:00 PM,42.7167641,-78.8260345
NORTH TONAWANDA INTER-CHURCH FOOD PANTRY,"100 RIDGE ROAD, NORTH TONAWANDA, NY 14120",(716) 692-8552,"Monday thru Friday, 10:00 AM - 12:30 PM",43.048568,-78.8742602
"FISH OF EAST AURORA, INC.","960 EAST MAIN STREET, EAST AURORA, NY 14052",(716) 652-7272,"Tuesday & Thursday 1:00 PM - 3:00 PM; 
First Saturday 10:00 AM - 12:00 PM",,
SOUTHTOWNS CHRISTIAN FOOD PANTRY,"6619 SOUTHWESTERN BLVD., LAKEVIEW, NY 14085",(716) 627-2183,"Wednesday 9:00 AM – 1:00 PM
Emergency hours Monday, Tuesday, Thursday 9:00 AM - 1:00 PM",,
OPERATION GOOD NEIGHBOR PANTRY,"2063 SOUTH CREEK ROAD, NORTH EVANS, NY 14047",(716) 627-5194,"Monday 12:00 - 3:00 PM
Tuesday 12:30 PM - 5:30 PM",42.6965313,-78.9400472
ST. JOHN DE LA SALLE COMMUNITY CARE,"8600 BUFFALO AVE, NIAGARA FALLS, NY 14304",(716) 622-5880,"Monday 10:00 AM - 2:00 PM; 
Wednesday 9:00 AM - 3:00 PM; 
Friday 9:00 AM - 12:00 PM",43.0764135,-78.965506
ALDEN-MARILLA FOOD PANTRY,"13021 W. MAIN ST., ALDEN, NY 14004",(716) 937-6922,"Monday 1:00 - 3:00
Friday 6:30 - 8:30 PM",42.8999398,-78.5026185
THE SALVATION ARMY - NIAGARA FALLS,"7018 BUFFALO AVENUE, NIAGARA FALLS, NY 14304",(716) 283-7697,"Monday thru Thursday, 1:00 PM – 3:00 PM",43.0744204,-78.9831771
RAYMOND COMMUNITY CHURCH,"6597 RAPIDS ROAD, LOCKPORT, NY 14094",(716) 434-3175,"Thursday, 11:00 AM - 3:00 PM",43.107679,-78.6674675
HEARTS FOOD PANTRY EXPRESS AT THE WAY CHURCH,"2334 LOCKPORT RD, SANBORN, NY 14132",,3rd Saturday 11:00 AM - 1:00 PM,43.121065,-78.9213985
BREAD OF LIFE OUTREACH,"8745 SUPERVISOR ROAD, COLDEN, NY 14033",(716) 941-3550,"Thursday 3:00 PM - 5:00 PM
Saturday 9:00 AM - 11:00 AM",42.646988,-78.68255
"COMMUNITY MISSIONS, INC.- PANTRY","1590 BUFFALO AVENUE, NIAGARA FALLS, NY 14303",(716) 285-3403,"Tuesday, Thursday, and Friday: 1:00 PM - 3:00 PM",43.0834875,-79.0428103
NIAGARA COMMUNITY ACTION PROGRAM-ROSE MARRA,"564 19TH STREET, NIAGARA FALLS, NY 14301",(716) 282-4375,"Tues thru Friday, 6:30 AM - 2:30 PM",43.0933465,-79.0391955
ST. JOSEPH OUTREACH,"1402 PINE AVENUE, NIAGARA FALLS, NY 14301",(716) 282-1379,"Monday, Tuesday, Wednesday, Friday: 9:00 AM - 11:00 AM",43.0952786,-79.0455352
WORD OF LIFE MINISTRIES,"1941 HYDE PARK BLVD, NIAGARA FALLS, NY 14305",(716) 297-2951,Tuesday and Thursday 10:00 AM - 2:00 PM,43.1069177,-79.029136
"HEART, LOVE & SOUL INC. FOOD PANTRY","939 ONTARIO AVENUE, NIAGARA FALLS, NY 14305",(716) 282-5687,Monday thru Friday 10:00 AM - 1:00 PM,43.1082015,-79.0526985
THE SALVATION ARMY - LOCKPORT,"50 COTTAGE STREET, LOCKPORT, NY 14094",(716) 434-1276,Monday/Wednesday/Friday: 11:00 AM - 1:00 PM,43.1678435,-78.6939612
ALL SAINTS FOOD PANTRY - St. Vincent DePaul Society,"61 WALNUT ST., LOCKPORT, NY 14094",(716) 433-0593,"Tuesday and Thursday, 1:00 PM - 3:00 PM",43.1688438,-78.6931316
NIACAP LOCKPORT PANTRY,"180 WASHBURN STREET, LOCKPORT, NY 14094",(716) 433-6632,"--BY APPOINTMENT--
Monday, Tuesday, Thursday, Friday 8:00 AM - 3:00 PM
(Closed for lunch from 1:00 - 2:00 PM each day)",43.1693447,-78.6861635
EDEN-NORTH COLLINS FOOD PANTRY,"2059 FRANKLIN ST., NORTH COLLINS, NY 14111",(716) 374-5683,Wednesday 1:00 PM - 5:00 PM,,
CARE -N- SHARE FOOD PANTRY,"3745 RANSOMVILLE RD., RANSOMVILLE, NY 14131",(716) 791-1268,"Tuesday 3:30-5:30 PM
Thursday 5:00-7:00 PM
First Saturday of the month, 9:00 AM - 12:00 PM",43.2318855,-78.908298
FEED MY SHEEP FOOD PANTRY AT SOLID ROCK ASSEMBLY OF GOD,"8590 ROCHESTER RD., GASPORT, NY 14067",(716) 957-2561,Thursday 11:00 AM - 3:00 PM,43.197437,-78.5595106
TRIBAL ADVOCATE SENECA NATION,"210 THOMAS INDIAN SCHOOL DRIVE, IRVING, NY 14081",(716)532-4900,MON-FRI 8:00 AM - 4:30 PM,,
SOUTHERNTIER FOOD PANTRY @ TRADING POST,"38 FRANKLIN STREET, SPRINGVILLE, NY 14141",(716) 592-4455,"Wednesday, Friday, Saturday 10:00 AM - 12:00 PM",42.5092934,-78.6648357
SPRINGVILLE-CONCORD COMMUNITY FOOD PANTRY,"56 EAST MAIN STREET, SPRINGVILLE, NY 14141",(716) 592-7414,"Monday 12:00 PM - 2:00 PM
Thursday 10:00 AM - 12:00 PM
1st and 3rd Wednesday 6:00 PM - 8:00 PM",42.5088513,-78.6652744
NEWFANE COMMUNITY FOOD PANTRY,"3455 EWINGS ROAD, NEWFANE, NY 14108",(716) 778-9822,"Tuesday 9:30 AM - 4:00 PM; 
SUN-MON, WED-SAT: EMERGENCIES",43.24718,-78.7109353
FIRST BAPTIST CHURCH OF NEWFANE,"6047 EAST AVENUE, NEWFANE, NY 14108",(716) 778-9216,"Wednesday 1:00 PM - 6:00 PM
Emergency hours by appt. Sun-Tues and Thu-Sat.",43.2844505,-78.7080026
WILSON COMMUNITY FOOD PANTRY,"359 LAKE STREET, WILSON, NY 14172",(716) 727-4074,Tuesday 2:00 PM - 8:00 PM,43.30801,-78.8264175
SILVER CREEK FOOD PANTRY,"260 CENTRAL AVE., Silver Creek, New York 14136",(716) 934-4570,"Thursday 5:30 PM - 7:30 PM
Friday 10:00 AM - 12:00 PM",42.5442753,-79.1654555
"GOWANDA LOVE, INC.","24 WEST MAIN ST., GOWANDA, NY 14070",(716) 532-6130,"Monday 10:00 AM - 2:00 PM
Thursday 4:00 PM - 6:00 PM
3rd Saturday 9:00 AM - 12:00 PM",42.4627351,-78.9358149
ASHFORD FOOD PANTRY,"5640 FOX VALLEY RD., WEST VALLEY, NY 14171",(716) 942-6690,"1st and 3rd Wednesday 2:00 PM - 7:00 PM
2nd and 4th Wednesday 12:00 PM - 4:00 PM",42.4346764,-78.6277605
DAYTON FOOD PANTRY,"9586 RAILROAD AVE, DAYTON, NY 14041",(716) 725-9229,"Wednesday, Thursday, Saturday 9:00 AM - 1:00 PM",,
FAITH UNITED METHODIST CHURCH,"1449 QUAKER ROAD, BARKER, NY 14012",(716) 795-9945,Monday 8:30 AM - 12:00 PM and 1:00 - 3:00 PM,43.3381188,-78.555093
"FORESTVILLE FOOD PANTRY, INC.","3 PARK STREET, FORESTVILLE, NY 14062",(716) 965-2655,Thursday 10:00 AM - 4:00 PM,42.4673885,-79.1776835
NEIGHBOR TO NEIGHBOR FOOD PANTRY,"9497 PROSPECT ROAD, FORESTVILLE, NY 14062",(716) 965-2353,Tuesday 9:00 AM - 4:30 PM,42.413328,-79.1271632
SOUTH DAYTON FOOD PANTRY,"327 ROUTE 322 (PINE STREET), SOUTH DAYTON, NY 14138",(716) 988-3232,Monday 8:00 AM - 12:00 PM,,
ST. ELIZABETH ANN SETON FOOD CLOSET,"328 WASHINGTON AVENUE, DUNKIRK, NY 14048",(716) 366-2306,Wednesday 3:00 PM - 7:00 PM,42.4841855,-79.3325712
CATTARAUGUS FOOD PANTRY,"26 MILL STREET, CATTARAUGUS, NY 14719",(716) 229-2008,"Tuesday 5:30 - 7:00 PM
Wednesday 10:00 - 3:00",42.3292085,-78.869994
THE SALVATION ARMY - DUNKIRK,"704 CENTRAL AVENUE, DUNKIRK, NY 14048",(716) 366-3701,"Tuesday, Wednesday Thursday: 9:00 AM - Noon",42.4775945,-79.3322595
THE FRED BASKET,"219 CENTRAL AVE., FREDONIA, NY 14063",(716) 679-1501,"Wednesday 12:30-4:30 PM
3rd Saturday 10:00 AM-12:00 PM",42.4507772,-79.333008
CATHOLIC CHARITIES - FRANKLINVILLE FOOD PANTRY,"28 PARK SQUARE, FRANKLINVILLE, NY 14737",(716) 676-3215,Tuesday and Fridays 9:30 AM - 2:30 PM,42.3374793,-78.4580109
TWICE FED FOOD PANTRY,"6813 NORTH MAIN STREET, CHERRY CREEK, NY 14723",(716) 296-5213,Monday 7:00 AM to 11:00 AM,42.3025298,-79.0947996
U.C. Of E COMMUNITY FOOD PANTRY,"53 ELIZABETH STREET, ELLICOTTVILLE, NY 14731",(716) 699-4003,"Monday 1:00 PM – 3:00 PM
Wednesday 4:00 PM – 6:00 PM
Saturday 10:00 AM – 12:00 PM",42.276663,-78.6734215
